id, consumer_id, product_id, amount
12, 10135, 1266, 0
26, 10135, 307, 1
74, 10135, 289, 1
98, 13597, 408, 0
140, 13597, 301, 5
163, 13597, 910, 7
165, 13597, 307, 2
203, 24125, 831, 0
222, 24125, 1315, 1
265, 24125, 258, 6
295, 24125, 124, 2
308, 24125, 142, 8
318, 13828, 170, 7
353, 13828, 617, 8
391, 24444, 1507, 1
429, 24444, 195, 3
450, 24444, 1567, 2
493, 17452, 1262, 7
494, 17452, 635, 8
525, 17452, 1359, 0
572, 17452, 289, 3
583, 17452, 888, 3
607, 17452, 91, 2
648, 1533, 1068, 9
685, 20203, 1026, 3
722, 20203, 946, 5
737, 20203, 1636, 1
776, 20203, 223, 6
797, 4165, 385, 9
799, 4165, 650, 8
818, 4165, 46, 1
830, 4165, 1647, 9
863, 4165, 1616, 8
911, 4165, 258, 8
940, 20139, 78, 3
985, 20139, 1474, 4
996, 20139, 1567, 4
1021, 20139, 1647, 2
1029, 20139, 1567, 9
1037, 20139, 597, 6
1062, 20139, 170, 9
1063, 5564, 1661, 7
1085, 5564, 1555, 1
1092, 5564, 1026, 3
1114, 5564, 1474, 6
1159, 5564, 1398, 7
1189, 5564, 666, 9
1211, 10311, 353, 0
1255, 10311, 1562, 2
1263, 10311, 910, 1
1281, 1890, 195, 3
1305, 1890, 831, 1
1349, 1890, 1108, 6
1380, 1890, 1068, 0
1423, 1890, 1507, 1
1465, 1890, 142, 5
1485, 1890, 1507, 7
1507, 19797, 1647, 5
1533, 19797, 1315, 7
1570, 19797, 1359, 8
1594, 19797, 848, 0
1634, 19797, 195, 3
1661, 19797, 1315, 0
1677, 19797, 1616, 9
1689, 9414, 831, 3
1699, 9414, 1398, 8
1713, 9414, 1147, 8
1730, 9414, 1661, 5
1747, 9414, 749, 8
1771, 9414, 597, 3
1803, 9414, 1315, 0
1830, 19030, 848, 4
1833, 19030, 217, 4
1851, 16571, 457, 7
1896, 16571, 1026, 2
1926, 16571, 1562, 5
1974, 16571, 1315, 4
1988, 16571, 1210, 2
2001, 16571, 307, 8
2025, 9480, 307, 4
2073, 9480, 666, 3
2107, 9480, 498, 4
2145, 9480, 1398, 9
2156, 22644, 78, 4
2189, 22644, 124, 3
2201, 22644, 710, 7
2237, 22644, 1233, 5
2253, 22644, 617, 1
2294, 22043, 1430, 5
2294, 22043, 888, 3
2313, 22043, 1108, 3
2358, 22043, 1147, 4
2398, 22043, 457, 9
2398, 22043, 457, 7
2422, 22043, 457, 0
2439, 11647, 1068, 6
2466, 11647, 1507, 4
2488, 11647, 307, 8
2514, 11647, 1555, 8
2517, 11647, 1555, 0
2537, 115, 946, 0
2569, 115, 46, 9
2606, 115, 457, 7
2638, 115, 307, 6
2648, 115, 1262, 6
2673, 115, 1636, 4
2713, 115, 1567, 8
2760, 6047, 925, 4
2798, 6047, 1377, 5
2817, 6047, 307, 7
2839, 6047, 195, 1
2876, 6047, 1507, 9
2919, 6047, 1147, 8
2922, 22018, 1055, 4
2950, 22018, 385, 9
2998, 22018, 289, 9
3042, 22018, 946, 4
3053, 22018, 78, 3
3099, 13743, 710, 9
3129, 13743, 888, 5
3154, 13743, 749, 2
3201, 13743, 1068, 8
3220, 7630, 1187, 6
3266, 7630, 710, 7
3300, 7630, 428, 5
3321, 21028, 1661, 6
3346, 21028, 1621, 2
3391, 21028, 556, 0
3402, 21028, 1210, 8
3434, 7439, 301, 9
3461, 7439, 1055, 2
3488, 7439, 1507, 5
3525, 7439, 457, 0
3546, 17157, 457, 1
3550, 16043, 1068, 1
3573, 16043, 46, 3
3602, 16043, 1430, 4
3602, 16043, 1210, 1
3643, 16043, 888, 8
3661, 16043, 1315, 5
3682, 16043, 195, 4
3689, 18191, 477, 3
3714, 21181, 1507, 4
3756, 21181, 1647, 5
3794, 21181, 457, 9
3798, 21181, 457, 8
3809, 21181, 428, 7
3849, 21793, 1555, 2
3887, 21793, 556, 7
3896, 21793, 124, 2
3898, 21793, 289, 7
3914, 21793, 1661, 5
3952, 21793, 1266, 8
3962, 21640, 1507, 8
3989, 12137, 124, 8
4006, 12137, 1555, 3
4008, 12137, 91, 1
4047, 12137, 195, 6
4082, 12137, 301, 0
4092, 6856, 650, 7
4096, 6856, 91, 0
4140, 6856, 1430, 1
4150, 6856, 1398, 4
