id, name, serial_number, amount, price
46, battery, 5493-1947-6143-5969, 556, 1930.26
78, bateria, 6460-9799-4920-3005, 228, 622.03
91, batteries, 9879-9996-5055-1100, 586, 938.77
124, power supply, 1650-4935-3706-6007, 282, 532.05
142, led lights, 3037-5477-1604-9332, 266, 446.49
170, battery charger, 6529-1260-1526-1669, 142, 679.28
195, trash can, 6367-7069-5143-1159, 188, 249.58
217, car battery, 8091-4828-5892-3713, 918, 88.74
223, fluke, 2887-6026-1685-8699, 969, 111.1
244, laser, 9979-4965-8424-6888, 424, 533.23
258, kabel, 3036-8608-4407-2628, 803, 331.59
289, multimeter, 2967-3876-8010-2090, 82, 1057.65
289, led strip, 7306-6972-2583-4888, 622, 84.54
291, carregador iphone, 4179-2193-2136-1913, 872, 1301.79
301, switch controller, 2472-3078-2612-9109, 747, 1942.32
307, fichario, 9097-3944-6464-4217, 257, 1432.48
343, bateria carro, 2829-1099-3517-6421, 758, 1449.97
353, arduino, 5027-4933-8331-7638, 314, 889.11
385, bateria de carro, 8731-2626-7405-5548, 100, 123.77
408, led rgb, 8300-9031-7412-3297, 938, 1500.76
428, camera, 6193-5753-7044-7335, 820, 1833.02
457, câmera, 5701-2536-2162-7368, 337, 1130.01
457, moto g10, 5231-1775-8488-1378, 889, 1288.89
477, polaroid, 5037-3383-9154-7449, 408, 1551.3
498, s20 fe, 8276-8613-4478-5068, 791, 292.57
521, nikon, 1778-9038-4705-8813, 577, 423.38
556, camera canon, 3499-6368-6936-1428, 878, 1497.86
597, instax, 1560-7021-8995-9366, 455, 630.55
617, camera fotografica, 8776-6787-8596-1024, 26, 362.51
635, moto g9, 7653-5500-7778-3657, 787, 426.54
650, camera polaroid, 5016-5486-2873-6541, 692, 925.46
666, instax mini, 8976-7912-4504-7521, 412, 1405.46
710, câmera fotográfica, 9726-8435-5039-3501, 196, 479.82
749, papel de parede cinza, 5782-8330-6920-6402, 451, 392.9
786, monitor ultrawide, 6970-7281-5361-5627, 178, 1487.54
831, ipad, 4410-9651-5702-8874, 711, 905.96
848, moto g9 plus, 9211-9209-5155-6311, 233, 1720.5
888, motorola g10, 6748-2573-1965-5910, 778, 247.53
910, moto g10 plus, 2133-2854-6378-6577, 322, 397.91
925, notebook samsung i7, 2665-6586-3980-1677, 734, 148.05
946, samsung s20 fe, 5914-9223-3831-5540, 876, 1049.13
992, papel de parede branco, 3776-3114-1385-1039, 958, 518.69
1026, moto g 10, 3618-5464-3512-8724, 799, 1947.54
1055, camera de segurança wifi, 3148-4440-2682-8975, 573, 1722.32
1068, instax mini 11, 3637-2217-6491-9258, 939, 1546.5
1108, vinho, 2592-2504-4967-4144, 788, 747.8
1147, chocolate, 8488-4186-9333-7334, 181, 1097.51
1187, cerveja, 8634-7814-6300-3697, 144, 109.28
1210, whisky, 6794-9715-6017-4160, 266, 608.11
1233, gin, 7349-8162-1400-3832, 270, 229.26
1262, queijo, 8097-5091-4116-7319, 960, 648.19
1266, bebedouro, 3857-1315-3065-6200, 282, 1905.05
1315, jack daniels, 3970-3904-7723-8358, 662, 1031.22
1315, vodka, 1979-5466-3831-6921, 453, 1332.56
1359, mercado livre, 6589-1767-8618-5253, 526, 305.95
1377, malbec, 5482-4535-1112-9660, 853, 105.72
1398, dolce gusto, 3451-1711-7341-8549, 728, 1064.89
1426, espumante, 1930-2928-7453-2564, 536, 394.77
1430, doces, 9977-4037-3008-9497, 845, 1165.34
1474, cacau show, 4596-5489-3672-7869, 910, 319.82
1507, pasta, 3730-5741-5011-5065, 198, 1537.42
1516, carrefour, 6735-1272-2667-9388, 247, 1904.01
1555, cafeteira, 6709-1414-9945-6622, 491, 1700.13
1562, heineken, 5085-2275-8686-2646, 778, 642.26
1567, morango, 4013-9024-3526-7490, 559, 997.09
1616, leite condensado, 8313-1433-7155-1374, 615, 743.0
1621, cortina para sala, 7889-3802-2637-6143, 418, 141.44
1636, açúcar, 4592-2973-3258-7559, 247, 1131.96
1647, barra de chocolate, 5134-4434-8858-3869, 461, 704.6
1661, leite ninho, 6751-3008-5417-7702, 23, 937.93
